Item,Serving Size,Calories,Calories from Fat (kcal),Fat (g),Saturated Fat (g),Trans Fatty Acid (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Total Dietary Fiber (g),Total Sugars (g),Protein (g)
BAGELS,,,,,,,,,,,,
Asiago Cheese Bagel,1 Bagel,320,50,5,3,0,15,530,55,2,4,14
Blueberry Bagel,1 Bagel,290,10,1,0,0,0,390,61,2,10,10
Chocolate Chip Bagel,1 Bagel,330,50,5,3,0,5,370,60,2,12,10
Cinnamon Crunch Bagel,1 Bagel,430,60,7,5,0,0,380,82,2,32,9
Cinnamon Swirl & Raisin Bagel,1 Bagel,310,15,2,1,0,0,410,65,3,12,10
Everything Bagel,1 Bagel,290,15,1.5,0,0,0,560,58,2,4,10
Jalapeno Cheddar Bagel,1 Bagel,300,25,3,1.5,0,5,750,56,2,4,13
Plain Bagel,1 Bagel,280,10,1,0,0,0,410,57,2,4,10
Poppyseed Bagel,1 Bagel,290,20,2,0,0,0,410,58,2,4,10
Salt Bagel,1 Bagel,280,10,1,0,0,0,1960,57,2,4,10
Sesame Bagel,1 Bagel,290,25,2.5,0,0,0,410,58,2,4,11
Sprouted Grain Bagel Flat,1 Bagel Flat,180,20,2,0,0,0,410,34,3,4,7
,,,,,,,,,,,,
BREAD,,,,,,,,,,,,
Artisan Ciabatta,2 oz (about 3 1/2 inch slice/ 57g),150,10,1.5,0,0,0,280,30,1,0,6
Black Pepper Focaccia,2 oz (57g / about 4.75 inch slice),140,15,2,0,0,0,370,26,1,0,5
Brioche Roll,1 Roll,220,70,7,4,0,60,270,31,2,5,8
Classic Sourdough Loaf,2 oz (about 1 1/4 inch slice / 57 g),150,5,0,0,0,0,320,31,1,0,6
Classic White Miche,2 oz (about 2/3 inch slice / 57g),160,35,4,2,0,10,260,27,1,4,6
Country Rustic Sourdough XL Loaf,2 oz (about 2/3 inch slice / 57 g),130,5,0,0,0,0,260,28,1,0,5
Asiago Cheese Focaccia,2 oz (57g / about 4 inch slice),150,25,3,1,0,5,320,24,1,0,6
French Baguette,2 oz (57g / about 2 3/4 inch slice),150,5,0,0,0,0,370,30,1,1,5
New England Roll,1 Roll,250,40,4.5,1.5,0,10,440,44,1,5,9
Sourdough Bread Bowl,1 Bread Bowl,670,40,4.5,0,0,0,1160,130,4,2,27
Tomato Basil Miche,2 oz (57g / about 1/2 inch slice),130,5,0,0,0,0,330,27,1,1,5
White Whole Grain Loaf,2 oz (57g / about 7/8 inch slice),130,5,0.5,0,0,0,290,25,2,3,6
Whole Grain Lahvash,1 Lahvash,150,20,2.5,0,0,0,250,27,2,2,9
,,,,,,,,,,,,
BREAKFAST,,,,,,,,,,,,
"Asiago Bacon, Egg & Cheese on Asiago Cheese Bagel",1 Sandwich,550,210,23,11,0,230,1040,56,2,5,20
"Avocado, Egg White, Spinach & Cheese on Sprouted Grain Bagel Flat",1 Sandwich,350,120,14,5,0,20,680,39,5,5,19
"Bacon, Egg & Cheese on Brioche",1 Sandwich,450,220,25,12,0,275,780,32,2,6,24
"Bacon, Egg & Cheese on Artisan Ciabatta",1 Sandwich,430,170,19,8,0,215,860,40,2,1,23
"Bacon, Scrambled Egg & Cheese on Artisan Ciabatta",1 Sandwich,450,190,21,9,0,295,880,40,2,1,25
"Bacon, Scrambled Egg & Cheese on Brioche",1 Sandwich,470,240,27,13,0,355,800,33,2,6,26
"Bacon, Scrambled Egg, & Tomato Wrap",1 Wrap,470,250,28,10,0,300,810,31,2,4,27
Breakfast Portion - Artisan Ciabatta,1/4 Loaf,200,15,2,0,0,0,360,38,2,1,7
Chipotle Aioli Sauce for Breakfast Sandwiches,1 Serving,45,40,4.5,1,0,5,55,0,0,0,0
"Chipotle Chicken, Scrambled Egg & Avocado Wrap",1 Wrap,470,240,27,10,0,315,750,32,4,4,29
Egg & Cheese on Brioche,1 Sandwich,380,170,19,10,0,265,510,32,2,6,19
Egg & Cheese on Artisan Ciabatta,1 Sandwich,360,120,14,6,0,205,590,40,2,1,19
Egg Whites,1 Portion,30,5,0,0,0,0,100,1,0,0,6
Garlic Aioli Sauce for Breakfast Sandwiches,1 serving,50,50,5,1,0,5,30,0,0,0,0
Over Easy Egg,1 Egg,70,45,5,1.5,0,185,70,0,0,0,6
"Sausage, Egg & Cheese on Brioche",1 Sandwich,590,360,40,18,0,300,830,33,2,6,26
"Sausage, Egg & Cheese on Artisan Ciabatta",1 Sandwich,570,310,34,14,0,240,920,40,2,1,26
"Sausage, Scrambled Egg & Cheese on Artisan Ciabatta",1 Sandwich,590,320,36,15,0,320,940,41,2,1,27
"Sausage, Scrambled Egg & Cheese on Brioche",1 Sandwich,610,370,41,19,0,380,850,33,2,6,28
Scrambled Egg,1 egg,90,60,7,3,0,265,90,1,0,0,8
Scrambled Egg & Cheese on Artisan Ciabatta,1 Sandwich,380,140,16,7,0,285,610,40,2,1,20
Scrambled Egg & Cheese on Brioche,1 Sandwich,400,190,21,11,0,345,530,32,2,6,21
"Steel Cut Oatmeal with Strawberries, Pecans & Cinnamon Crunch Topping",1 Bowl,370,130,15,2,0,0,150,52,9,17,8
,,,,,,,,,,,,
DRESSINGS,,,,,,,,,,,,
Apple Cider Vinegar BBQ Sauce,1 portion,20,0,0,0,0,0,90,4,0,4,0
Dressing - Asian Sesame Vinaigrette - Half,1 1/2 Tbsp,45,35,4,0.5,0,0,100,2,0,2,0
Dressing - Asian Sesame Vinaigrette - Whole,3 Tbsp,90,70,8,1,0,0,200,4,0,4,0
Dressing - BBQ Ranch - Half,1 1/2 Tbsp,70,60,7,1,0,5,125,2,0,2,0
Dressing - BBQ Ranch - Whole,3 Tbsp,140,120,13,2.5,0,10,250,5,0,4,1
Dressing - Caesar - Half,1 1/2 Tbsp,90,80,9,1.5,0,15,140,1,0,0,0
Dressing - Caesar - Whole,3 Tbsp,170,160,18,3,0,30,290,2,0,1,1
Chipotle Sauce,1 portion,100,90,10,1.5,0,10,105,2,0,1,0
Garlic Aioli - Sandwich Portion,,110,110,12,2,0,15,65,0,0,0,0
Dressing - Greek Dressing - Half,1 1/2 Tbsp,110,110,12,1.5,0,0,150,0,0,0,0
Dressing - Greek Dressing - Whole,3 Tbsp,230,220,25,3.5,0,0,290,1,0,0,0
Dressing - Green Goddess - Half,1 1/2 tbsp,40,30,3,0,0,0,70,2,0,1,1
Dressing - Green Goddess - Whole,3 tbsp,80,60,6,1,0,5,140,4,0,2,2
Horseradish Sauce,1 portion,100,100,11,2,0,10,85,1,0,0,0
Hummus,1 portion,60,30,3.5,0,0,0,110,5,1,0,2
Lemon Tahini Dressing,1 portion,70,60,7,1,0,0,210,2,1,0,1
Mayonnaise,1 portion,130,130,14,2,0,10,115,0,0,0,0
Dressing - Poppyseed - Half,1 1/2 Tbsp,15,0,0,0,0,0,60,3,0,3,0
Dressing - Poppyseed - Whole,3 Tbsp,30,0,0,0,0,0,125,7,1,6,0
Salsa Verde,1 portion,90,90,10,1,0,0,170,1,0,0,0
Signature Sauce,1 portion,90,70,8,1,0,10,90,4,0,2,0
Spicy Brown Mustard,1 portion,10,5,0,0,0,0,80,1,0,0,0
Dressing - Tangerine Soy Ginger - Half,1 ladle,80,60,7,1,0,0,250,4,0,4,0
Dressing - Tangerine Soy Ginger - Whole,2 ladles,160,130,14,2,0,0,500,9,0,8,1
Teriyaki Sauce,1 portion,120,10,1,0,0,0,670,26,0,22,2
Dressing - White Balsamic Vinaigrette flavored with Apple - Half,1 1/2 Tbsp,80,60,6,1,0,0,85,5,0,5,0
Dressing - White Balsamic Vinaigrette flavored with Apple - Whole,3 Tbsp,160,120,13,2,0,0,170,11,0,10,0
,,,,,,,,,,,,
DRINKS,,,,,,,,,,,,
100% Colombian Dark Roast Coffee  - 16 fl oz,16 fl oz (473 mL),15,0,0,0,0,0,10,3,0,0,1
100% Colombian Dark Roast Coffee  - 20 fl oz,20 fl oz (591 mL),15,0,0,0,0,0,15,3,0,0,1
100% Colombian Dark Roast Coffee - Group,1 Container,100,0,0,0,0,0,90,20,0,0,7
100% Colombian Dark Roast Coffee - 12 fl oz,12 fl oz (355 mL),10,0,0,0,0,0,10,2,0,0,1
Additional Shot of Bittersweet Chocolate Sauce,1 shot,50,0,0,0,0,0,25,13,1,8,1
Additional Shot of Caramel Syrup,1 Shot,60,10,1.5,1,0,5,50,13,0,8,0
Additional Shot of Cinnamon Bark Flavored Syrup,1 shot,25,0,0,0,0,0,0,6,0,6,0
Additional Shot of Espresso,1 fl oz (30 mL),5,0,0,0,0,0,0,1,0,0,0
Additional Shot of Espresso Decaf,1 Shot,5,0,0,0,0,0,0,1,0,0,0
Additional Shot of Madagascar Vanilla Syrup,1 Shot,20,0,0,0,0,0,0,5,0,5,0
Agave Lemonade - 20 fl oz,20 fl oz (591 mL),200,0,0,0,0,0,10,49,0,45,0
Agave Lemonade - 30 fl oz,30 fl oz (887 mL),300,5,0,0,0,0,15,74,0,68,0
Agave Lemonade - Serves 5 - Group,1 container,640,5,1,0,0,0,35,158,0,145,1
AHA Blueberry Pomegranate Sparkling Water- 12 fl oz can,12 fl oz can,0,0,0,0,0,0,0,0,0,0,0
AHA Lime Watermelon Sparkling Water- 12 fl oz can,12 fl oz can,0,0,0,0,0,0,0,0,0,0,0
Americano - 16 fl oz,16 fl oz (473 mL),10,0,0,0,0,0,5,2,0,0,1
Black Tea - Serves 5 - Group,1 Container,40,0,0,0,0,0,40,0,0,0,8
Blackberry Sage Tea,8 fl oz (237 mL),0,0,0,0,0,0,0,0,0,0,0
Bottled Passionfruit Papaya Flavored Green Tea,1 Bottle (500 mL),130,0,0,0,0,0,0,31,,28,0
Bottled Water,16.9 fl oz (500mL),0,0,0,0,0,0,10,0,0,0,0
British Breakfast Tea - 8 fl oz,8 fl oz (240 mL),0,0,0,0,0,0,0,0,0,0,0
Bubly Sparkling Water 12 fl oz Can- Lemon,12 fl oz (355 mL),0,0,0,0,0,0,0,0,0,0,0
Bubly Sparkling Water 12 fl oz - Lime,12 fl oz (355 mL),0,0,0,0,0,0,0,0,0,0,0
Cafe Blend Light Roast Coffee - Group,1 Container,140,0,0,0,0,0,90,25,0,0,7
Cafe Blend Light Roast Coffee - 16 fl oz,16 fl oz (473 mL),20,0,0,0,0,0,10,3,0,0,1
Cafe Blend Light Roast Coffee - 20 fl oz,20 fl oz (591 mL),25,0,0,0,0,0,15,4,0,0,1
Cafe Blend Light Roast Coffee- 12 fl oz,12 fl oz (355 mL),15,0,0,0,0,0,10,2,0,0,1
Caffe Latte - 16 fl oz,16 fl oz (473mL),130,45,5,3,0,20,100,13,0,11,9
Caffe Latte - 20 fl oz,20 fl oz (591mL),160,60,6,4,0,25,125,16,0,14,11
Caffeine Free Diet Pepsi - 20 fl oz,20 fl oz (591 mL),0,0,0,0,0,0,95,0,0,0,0
Caffeine Free Diet Pepsi - 30 fl oz,30 fl oz (887 mL),0,0,0,0,0,0,140,0,0,0,0
Canada Dry Ginger Ale - 20 fl oz,20 fl oz (591 mL),230,0,0,0,0,0,85,60,0,59,0
Canada Dry Ginger Ale - 30 fl oz,30 fl oz (887 mL),340,0,0,0,0,0,125,90,0,89,0
Cappuccino - 16 fl oz,16 fl oz (473mL),130,45,5,3,0,20,100,13,0,11,9
Cappuccino - 20 fl oz,20 fl oz (591mL),160,60,6,4,0,25,125,16,0,14,11
Caramel Latte - 16 fl oz,16 fl oz (473 mL),410,120,13,8,0,45,290,60,0,42,11
Caramel Latte - 20 fl oz,20 fl oz (591mL),500,140,16,10,0,50,360,76,0,53,13
Chai Tea Latte - 20 fl oz,20 fl oz (591 mL),370,70,7,4.5,0,30,150,63,0,62,12
Chai Tea Latte - 16 fl oz,16 fl oz (473 mL),290,60,6,4,0,25,130,49,0,48,10
Chocolate Latte - 16 fl oz,16 fl oz (473 mL),370,90,10,6,0,35,190,60,2,43,12
Chocolate Latte - 20 fl oz,20 fl oz (591mL),420,100,11,7,0,40,230,67,3,49,14
Cinnamon Plum Tea - 8 fl oz,8 fl oz (240 mL),0,0,0,0,0,0,0,0,0,0,0
1 pump of Cane Sugar Syrup,1 pump,15,0,0,0,0,0,0,5,0,4,0
Coke - 20 fl oz,20 fl oz (591 mL),240,0,0,0,0,0,65,67,0,67,0
Coke - 30 fl oz,30 fl oz (887 mL),370,0,0,0,0,0,95,100,0,100,0
Coca-Cola 20 fl oz,20 fl oz bottle (591 mL),240,0,0,0,0,0,75,65,0,65,0
Coke Zero - 20 fl oz,20 fl oz (591 mL),0,0,0,0,0,0,65,0,0,0,0
Coke Zero - 20 fl oz bottle,20 fl oz bottle (591 mL),0,0,0,0,0,0,70,0,0,0,0
Coke Zero - 30 fl oz,30 fl oz (887 mL),0,0,0,0,0,0,100,0,0,0,0
Cold Brew Coffee - 16 fl oz,16 fl oz (473 mL),10,0,0,0,0,0,15,2,0,0,1
Cold Brew Coffee - 20 fl oz,20 fl oz (591 mL),15,0,0,0,0,0,15,3,0,0,1
Dasani Lemon - 12 fl oz can,12 fl oz can (355 mL),0,0,0,0,0,0,35,0,0,0,0
Dasani Lime - 12 fl oz can,12 oz can (355 mL),0,0,0,0,0,0,35,0,0,0,0
Decaf Coffee - 12 fl oz,12 fl oz (355 mL),15,0,0,0,0,0,0,3,0,0,0
Decaf Coffee - Group,1 Container,140,0,0,0,0,0,40,32,0,0,4
Decaf Coffee - 16 fl oz,16 fl oz (473 mL),20,0,0,0,0,0,5,4,0,0,0
Decaf Coffee - 20 fl oz,20 fl oz (591 mL),25,0,0,0,0,0,5,5,0,0,1
Diet Coke - 20 fl oz,20 fl oz (591 mL),0,0,0,0,0,0,80,0,0,0,0
Diet Coke - 30 fl oz,30 fl oz (887 mL),0,0,0,0,0,0,120,0,0,0,0
20 oz Diet Coke Bottle,20 fl oz bottle (591 mL),0,0,0,0,0,0,70,0,0,0,0
Diet Dr. Pepper - 20 fl oz,20 fl oz (591 mL),0,0,0,0,0,0,120,0,0,0,0
Diet Dr. Pepper - 30 fl oz,30 fl oz (887 mL),0,0,0,0,0,0,180,0,0,0,0
Diet Mountain Dew - 20 fl oz,20 fl oz (591 mL),10,0,0,0,0,0,90,1,0,1,0
Diet Mountain Dew - 30 fl oz,30 fl oz (887 mL),10,0,0,0,0,0,140,1,0,1,0
Diet Mountain Dew - 12 fl oz can,12 fl oz Can (355 mL),0,0,0,0,0,0,50,0,0,0,0
Diet Pepsi - 12 fl oz can,12 fl oz can (355 mL),0,0,0,0,0,0,40,0,0,0,0
Diet Pepsi - 20 fl oz,20 fl oz (591 mL),0,0,0,0,0,0,95,0,0,0,0
Diet Pepsi - 20 fl oz bottle,20 fl oz bottle (591 mL),0,0,0,0,0,0,60,0,0,0,0
Diet Pepsi - 30 fl oz,30 fl oz (887 mL),0,0,0,0,0,0,140,0,0,0,0
Dr Pepper - 20 fl oz bottle,20 fl oz bottle (591 mL),250,0,0,0,0,0,100,66,0,64,0
Dr. Pepper - 20 fl oz,20 fl oz (591 mL),240,0,0,0,0,0,75,65,0,64,0
Dr. Pepper - 30 fl oz,30 fl oz (887 mL),360,0,0,0,0,0,110,98,0,96,0
Drive Thru - Agave Lemonade - 20 fl oz,20 fl oz (591 mL),120,0,0,0,0,0,10,30,0,28,0
Drive Thru - Agave Lemonade - 30 fl oz,30 fl oz (887 mL),190,0,0,0,0,0,15,45,0,42,0
Drive Thru - Caffeine Free Diet Pepsi - 20 fl oz,20 fl oz (591 mL),0,0,0,0,0,0,60,0,0,0,0
Drive Thru - Caffeine Free Diet Pepsi - 30 fl oz,30 fl oz (887 mL),0,0,0,0,0,0,90,0,0,0,0
Drive Thru - Canada Dry Ginger Ale - 20 fl oz,20 fl oz (591 mL),140,0,0,0,0,0,50,38,0,37,0
Drive Thru - Canada Dry Ginger Ale - 30 fl oz,30 fl oz (887 mL),210,0,0,0,0,0,80,57,0,56,0
Drive Thru - Coke - 20 fl oz,20 fl oz (591 mL),150,0,0,0,0,0,40,42,0,42,0
Drive Thru - Coke - 30 fl oz,30 fl oz (887 mL),230,0,0,0,0,0,60,63,0,63,0
Drive Thru - Coke Zero - 20 fl oz,20 fl oz (591 mL),0,0,0,0,0,0,40,0,0,0,0
Drive Thru - Coke Zero - 30 fl oz,30 fl oz (887 mL),0,0,0,0,0,0,65,0,0,0,0
Drive Thru - Diet Coke - 20 fl oz,20 fl oz (591 mL),0,0,0,0,0,0,50,0,0,0,0
Drive Thru - Diet Coke - 30 fl oz,30 fl oz (887 mL),0,0,0,0,0,0,75,0,0,0,0
Drive Thru - Diet Dr. Pepper - 20 fl oz,20 fl oz (591 mL),0,0,0,0,0,0,75,0,0,0,0
Drive Thru - Diet Dr. Pepper - 30 fl oz,30 fl oz (887 mL),0,0,0,0,0,0,110,0,0,0,0
Drive Thru - Diet Mountain Dew - 20 fl oz,20 fl oz (591 mL),0,0,0,0,0,0,60,1,0,0,0
Drive Thru - Diet Mountain Dew - 30 fl oz,30 fl oz (887 mL),5,0,0,0,0,0,85,1,0,0,0
Drive Thru - Diet Pepsi - 20 fl oz,20 fl oz (591 mL),0,0,0,0,0,0,60,0,0,0,0
Drive Thru - Diet Pepsi - 30 fl oz,30 fl oz (887 mL),0,0,0,0,0,0,90,0,0,0,0
Drive Thru - Dr. Pepper - 20 fl oz,20 fl oz (591 mL),150,0,0,0,0,0,45,41,0,40,0
Drive Thru - Dr. Pepper - 30 fl oz,30 fl oz (887 mL),220,0,0,0,0,0,70,61,0,60,0
Drive Thru - Fanta Orange - 20 fl oz,20 fl oz (591 mL),160,0,0,0,0,0,40,42,0,42,0
Drive Thru - Fanta Orange - 30 fl oz,30 fl oz (887 mL),230,0,0,0,0,0,65,63,0,63,0
Drive Thru - Fuji Apple Cranberry Flavored Charged Lemonade - 20 fl oz,20 fl oz (591 mL),180,0,0,0,0,0,10,43,0,40,0
Drive Thru - Fuji Apple Cranberry Flavored Charged Lemonade - 30 fl oz,30 fl oz (887 mL),260,5,0,0,0,0,15,65,0,60,0
Drive Thru - Lipton Brisk Raspberry Tea - 20 fl oz,20 fl oz (591 mL),70,0,0,0,0,0,50,19,0,19,0
Drive Thru - Lipton Brisk Raspberry Tea - 30 fl oz,30 fl oz (887 mL),110,0,0,0,0,0,75,28,0,28,0
Drive Thru - Mango Yuzu Citrus Flavored Charged Lemonade - 30 fl oz,30 fl oz (887 mL),320,5,0,0,0,0,15,78,0,75,0
Drive Thru - Mango Yuzu Citrus Flavored Charged Lemonade - 20 fl oz,20 fl oz (591 mL),210,0,0,0,0,0,10,52,0,50,0
Drive Thru - Mist Twist - 20 fl oz,20 fl oz (591 mL),160,0,0,0,0,0,35,42,0,42,0
Drive Thru - Mist Twist - 30 fl oz,30 fl oz (887 mL),240,0,0,0,0,0,50,63,0,63,0
Drive Thru - Mountain Dew - 20 fl oz,20 fl oz (591 mL),180,0,0,0,0,0,55,46,0,46,0
Drive Thru - Mountain Dew - 30 fl oz,30 fl oz (887 mL),260,0,0,0,0,0,80,69,0,69,0
Drive Thru - Mug Root Beer - 20 fl oz,20 fl oz (591 mL),150,0,0,0,0,0,60,40,0,40,0
Drive Thru - Mug Root Beer - 30 fl oz,30 fl oz (887 mL),230,0,0,0,0,0,90,60,0,59,0
Drive Thru - Passion Papaya Flavored Green Tea - 20 fl oz,20 fl oz (591 mL),90,0,0,0,0,0,20,23,0,22,0
Drive Thru - Passion Papaya Flavored Green Tea - 30 fl oz,30 fl oz (887 mL),130,0,0,0,0,0,25,32,0,31,0
Drive Thru - Pepsi - 20 fl oz,20 fl oz (591 mL),160,0,0,0,0,0,35,43,0,43,0
Drive Thru - Pepsi - 30 fl oz,30 fl oz (887 mL),240,0,0,0,0,0,50,65,0,64,0
Drive Thru - Pibb Xtra - 20 fl oz,20 fl oz (591 mL),150,0,0,0,0,0,55,39,0,39,0
Drive Thru - Pibb Xtra - 30 fl oz,30 fl oz (887 mL),230,0,0,0,0,0,85,58,0,58,0
Drive Thru - Powerade Mountain Blast - 20 fl oz,20 fl oz (591 mL),90,0,0,0,0,0,120,23,0,23,0
Drive Thur - Powerade Mountain Blast - 30 Fl oz,30 fl oz (887 mL),130,0,0,0,0,0,180,35,0,34,0
