Item,Serving Size,Calories,Calories from Fat (kcal),Fat (g),Saturated Fat (g),Trans Fatty Acid (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Total Dietary Fiber (g),Total Sugars (g),Protein (g)
Fuji Apple with Chicken - Half,1/2 Salad,280,160,17,4,0,40,420,19,3,11,14
Fuji Apple with Chicken - Whole,1 Salad,560,310,35,8,0,80,840,37,6,22,27
Greek - Half,1/2 Salad,200,160,18,4,0,15,540,7,2,3,4
Greek - Whole,1 Salad,400,320,35,8,0,30,1080,14,5,5,8
Green Goddess Cobb with Chicken - Half,1/2 Salad,250,130,14,3.5,0,135,510,14,4,6,18
Green Goddess Cobb with Chicken - Whole,1 Salad,500,260,29,7,0,265,1030,27,8,13,37
Strawberry Poppyseed - Half,1/2 Salad,120,50,6,0.5,0,0,70,17,4,12,2
Strawberry Poppyseed - Whole,1 Salad,240,110,12,1,0,0,140,34,8,25,5
Strawberry Poppyseed with Chicken - Half,1/2 Salad,170,60,7,1,0,35,290,19,4,13,12
Strawberry Poppyseed with Chicken - Whole,1 Salad,350,130,14,1.5,0,70,570,37,8,25,23
,,,,,,,,,,,,
SANDWICHES,,,,,,,,,,,,
Avocado Sandwich - Half,1/2 sandwich,280,110,12,2,0,5,470,38,4,2,7
Avocado Sandwich - Whole,1 Sandwich,280,110,12,2,0,5,470,38,4,2,7
Bacon Turkey Bravo on Tomato Basil - Half,1/2 Sandwich,500,190,21,8,0,65,1260,52,2,6,28
Bacon Turkey Bravo on Tomato Basil - Whole,1 Sandwich,1010,370,42,15,0,125,2530,104,4,11,55
Chipotle Chicken Avocado Melt on Black Pepper Focaccia Round - Half,1/2 Sandwich,470,220,25,8,0,65,1010,40,4,2,23
Chipotle Chicken Avocado Melt on Black Pepper Focaccia - Whole,1 Sandwich,940,440,49,15,0,130,2010,80,8,5,46
Classic Grilled Cheese on Classic White Miche - Half,1/2 Sandwich,440,230,26,15,1,75,1190,34,1,5,19
Classic Grilled Cheese on Classic White Miche - Whole,1 Sandwich,880,460,51,30,1.5,150,2380,68,2,11,37
Frontega Chicken Panini on Black Pepper Focaccia - Half,1/2 Panini,420,170,19,6,0,55,950,40,2,3,22
Frontega Chicken Panini on Black Pepper Focaccia - Whole,1 Panini,830,340,38,13,0,115,1890,79,4,6,43
Grilled Mac & Cheese on Classic White Miche - Half,1/2 Sandwich,430,180,20,12,0.5,60,880,44,1,6,18
Grilled Mac & Cheese on Classic White Miche - Whole,1 Sandwich,850,360,40,24,1,115,1760,88,2,12,36
Lobster Roll,1 Sandwich,550,230,26,5,0,210,1550,45,2,6,33
Mediterranean Veggie on Tomato Basil - Half,1/2 Sandwich,320,60,6,1.5,0,10,790,54,4,5,12
Mediterranean Veggie on Tomato Basil - Whole,1 Sandwich,630,110,13,3.5,0,15,1580,107,8,10,23
Napa Almond Chicken Salad on Country Rustic Sourdough - Half,1/2 Sandwich,320,110,13,2,0,30,520,39,2,6,13
Napa Almond Chicken Salad on Country Rustic Sourdough - Whole,1 Sandwich,640,230,25,4,0,60,1040,78,5,12,25
Roasted Turkey & Avocado BLT on Country Rustic Sourdough - Half,1/2 Sandwich,480,240,27,5,0,45,870,37,4,3,23
Roasted Turkey & Avocado BLT on Country Rustic Sourdough - Whole,1 Sandwich,950,480,54,10,0.5,85,1740,73,8,5,46
Smokehouse BBQ Chicken on Classic White Miche - Half,1/2 Sandwich,380,130,14,7,0,65,820,41,2,9,22
Smokehouse BBQ Chicken on Classic White Miche - Whole,1 Sandwich,760,260,29,14,0.5,135,1640,81,3,18,45
Steak & White Cheddar Panini on Artisan Ciabatta - Half,1/2 Panini,470,200,23,7,0,65,760,43,2,4,23
Steak & White Cheddar Panini on Artisan Ciabatta - Whole,1 Panini,940,410,45,15,1,125,1510,87,4,7,47
The Chef's Chicken Sandwich - The Signature Take on Brioche,1 sandwich,570,260,29,10,0,180,920,37,2,5,40
The Chef's Chicken Sandwich - The Spicy Take on Brioche,1 sandwich,580,270,30,8,0,170,1210,41,2,6,37
Tuna Salad on Black Pepper Focaccia - Half,1/2 Sandwich,370,150,16,2.5,0,30,860,39,3,3,17
Tuna Salad on Black Pepper Focaccia - Whole,1 Sandwich,740,290,32,5,0,65,1710,77,5,6,35
Deli Turkey on Country Rustic Sourdough - Whole,1 Sandwich,600,170,19,3,0,55,1510,73,5,5,35
Deli Turkey on Country Rustic Sourdough- Half,1/2 Sandwich,300,90,10,1.5,0,30,750,36,2,3,17
,,,,,,,,,,,,
SIDES,,,,,,,,,,,,
Side - Apple,1 Apple,80,0,0,0,0,0,0,22,5,16,0
Banana,1 Banana,90,5,0,0,0,0,0,23,3,12,1
Side Portion - French Baguette,2.4 oz (69g / about 3 1/3 inch slice),180,5,0.5,0,0,0,450,36,1,1,7
Greek Yogurt with Mixed Berries,1 Parfait,240,70,8,4.5,0,25,80,27,2,17,15
Side - Chips,1 package,150,80,9,1,0,0,75,17,1,1,2
Side - Pickle Spear,1 Spear,5,0,0,0,0,0,240,1,0,0,0
Summer Fruit Cup,1 Container,60,0,0,0,0,0,10,15,2,9,1
Tomato Basil Cucumber Salad,1 Serving,90,50,6,1,0,0,480,9,1,5,1
,,,,,,,,,,,,
SMOOTHIES,,,,,,,,,,,,
Green Passion Smoothie - 16 fl oz,16 fl oz (473 mL),260,10,1.5,0,0,0,45,59,0,53,2
Mango Smoothie with Greek Yogurt - 16 fl oz,16 fl oz (473 mL),300,45,5,3,0,20,60,51,4,44,13
Peach & Blueberry Smoothie with Almond Milk - 16 fl oz,16 fl oz (473 mL),220,15,2,0,0,0,45,49,1,43,2
Strawberry Banana Smoothie with Greek Yogurt - 16 fl oz,16 fl oz (473 mL),250,30,3,1.5,0,10,35,52,6,38,7
Strawberry Smoothie with Greek Yogurt - 16 fl oz,16 fl oz ( 473 mL),280,50,5,2.5,0,20,65,46,6,41,12
,,,,,,,,,,,,
SOUFFLES,,,,,,,,,,,,
Souffle - Four Cheese,1 Souffle,470,270,30,16,1,185,830,36,1,8,14
Souffle - Spinach & Artichoke,1 Souffle,530,310,35,19,1,180,930,37,3,8,18
Souffle - Spinach & Bacon,1 Souffle,550,330,37,19,1,195,960,36,1,8,19
,,,,,,,,,,,,
SOUPS,,,,,,,,,,,,
Bistro French Onion - Bowl,1 1/2 Cups,310,120,13,6,0,20,1670,36,3,15,12
Bistro French Onion -  Bread Bowl,1 Bread bowl with soup,850,110,12,4,0,15,2230,151,6,12,34
Bistro French Onion - Cup,1 Cup,190,70,8,4,0,15,1070,21,2,10,8
Broccoli Cheddar -  Bowl,1 1/2 Cups,370,220,24,17,0,50,1470,25,6,8,13
Broccoli Cheddar - Cup,1 Cup,230,140,15,11,0,35,930,16,4,5,8
Broccoli Cheddar - Bread Bowl,1 Bread bowl with soup,900,180,20,11,0,35,2090,146,8,7,35
Cream of Chicken & Wild Rice - Bowl,1 1/2 Cups,260,140,16,7,0.5,35,1390,27,5,4,10
Cream of Chicken & Wild Rice - Bread Bowl,1 Bread bowl with soup,840,130,15,5,0,25,2090,148,8,5,33
Cream of Chicken & Wild Rice - Cup,1 Cup,180,90,10,4.5,0,25,920,18,4,3,6
Homestyle Chicken Noodle Soup - Bowl,1 bowl,100,5,1,0,0,25,1280,13,0,4,9
Homestyle Chicken Noodle Soup - Bread Bowl,1 bread bowl with soup,780,45,5,0.5,0,15,2100,148,5,5,35
Homestyle Chicken Noodle Soup - Cup,1 cup,60,5,0.5,0,0,15,860,8,0,3,6
Mexican Style Street Corn Chowder - Bowl,1 bowl,330,170,19,9,0,40,1370,36,3,7,6
Mexican Style Street Corn Chowder - Bread Bowl,1 bread bowl with soup,880,150,17,7,0,30,2070,153,6,7,31
Mexican Style Street Corn Chowder - Cup,1 cup,210,110,12,6,0,30,910,23,2,5,4
Thai Chicken Soup - Bowl,1 Bowl,230,120,14,11,0,20,1080,16,4,5,11
Thai Chicken Soup - Bread Bowl,1 Bread bowl with soup,820,120,14,8,0,15,1880,141,7,5,34
Thai Style Chicken Soup - Cup,1 Cup,160,80,9,8,0,15,720,11,2,3,7
Ten Vegetable Soup - Bowl,1 1/2 Cups,100,15,2,0,0,0,1090,15,4,6,5
Ten Vegetable Soup - Bread Bowl,1 Bread bowl with soup,730,50,6,0.5,0,0,1890,140,7,6,30
Ten Vegetable Soup - Cup,1 Cup,60,10,1,0,0,0,730,10,3,4,3
Vegetarian Creamy Tomato - Bread Bowl,1 Bread bowl with soup,910,170,19,8,0,40,1910,154,5,13,31
Vegetarian Creamy Tomato - Bowl,1 1/2 Cups,350,190,21,11,0.5,60,1100,34,1,17,5
Vegetarian Creamy Tomato - Cup,1 Cup,240,130,14,8,0,40,750,24,1,11,4
,,,,,,,,,,,,
SPREADS,,,,,,,,,,,,
Plain Cream Cheese Spread - 1.75 oz,1 Container,150,130,15,11,0,40,160,3,0,2,3
Plain Cream Cheese Spread - 8 oz,2 Tbsp,90,80,9,7,0,25,95,2,0,1,2
Reduced Fat Chive & Onion Cream Cheese Spread - 1.75 oz,1 Container,130,90,10,6,0,35,190,2,0,2,6
Reduced Fat Chive & Onion Cream Cheese Spread - 8 oz,2 Tbsp (30g),80,50,6,4,0,20,115,1,0,1,3
Reduced Fat Honey Walnut Cream Cheese Spread - 1.75 oz,1 Container,130,90,10,6,0,30,170,8,0,8,3
Reduced Fat Honey Walnut Cream Cheese Spread - 8 oz,2 Tbsp (30g),80,50,6,3.5,0,20,105,5,0,5,2
,,,,,,,,,,,,
CATERING,,,,,,,,,,,,
Agave Lemonade - Serves 10 - Group,2 containers,1280,15,1.5,0,0,0,75,315,0,290,2
Bistro French Onion Soup - Group,1 Container,600,250,28,14,0.5,55,3620,60,6,35,27
Black Tea - Serves 10 - Group,2 Containers,80,0,0,0,0,0,80,0,0,0,15
Blood Orange Lemonade - serves 10 - Group,2 Containers,1330,0,0,0,0,0,160,328,5,222,4
Broccoli Cheddar Mac & Cheese - Group,1 Container,1480,860,95,45,2,170,3850,106,10,20,50
Broccoli Cheddar Soup - Group,1 Container,820,480,53,37,1,115,3250,56,14,17,28
Catering Butter Pat,1 pat,35,35,4,2.5,0,10,35,0,0,0,0
Catering Asian Sesame Chicken Salad - serves 10,2 Containers,2160,1060,118,15,2,350,4290,155,34,42,137
Catering Asian Sesame Chicken Salad - serves 5,1 Container,1080,530,59,8,1,175,2150,78,17,21,69
Catering Asian Sesame - Half,1/2 Salad,150,90,10,1,0,0,190,13,3,3,4
Catering Asian Sesame Salad - serves 10,2 Containers,1610,960,106,12,2,0,2080,141,34,40,40
Catering Asian Sesame Salad - serves 5,1 Container,800,480,53,6,1,0,1040,70,17,20,20
Catering Asian Sesame Salad  - Whole,1 Salad,300,180,20,2,0,0,370,26,6,7,8
Catering BBQ Chicken Salad - Serves 10,2 Containers,2640,1180,131,21,3,420,6690,234,56,75,148
Catering BBQ Chicken Salad - Serves 5,1 Container,1320,590,66,11,1.5,210,3350,117,28,38,74
Catering BBQ Salad - Serves 10,2 Containers,2090,1080,120,18,3,70,4480,219,56,73,51
Catering BBQ Salad - Serves 5,1 Container,1040,540,60,9,1.5,35,2240,110,28,37,25
Catering Caesar Salad - serves 10,2 Containers,1870,1300,145,35,3.5,260,3500,99,24,17,53
Catering Caesar Salad - serves 5,1 Container,940,650,72,18,2,130,1750,49,12,8,27
Catering Caesar with Chicken Salad - serves 10,2 Containers,2420,1410,156,38,3.5,610,5710,113,24,19,151
Catering Caesar with Chicken Salad - serves 5,1 Container,1210,700,78,19,2,305,2860,57,12,10,75
Catering Chipotle Aioli for Breakfast Sandwiches,about 0.5 oz,90,90,10,1.5,0,10,125,1,0,0,0
Catering Citrus Asian Crunch Salad - Serves 10,2 containers,2180,1150,128,16,1,0,4240,216,43,121,48
Catering Citrus Asian Crunch Salad - Serves 5,1 container,1090,570,64,8,0,0,2120,108,21,61,24
Catering Citrus Asian Crunch Salad with Chicken - Serves 10,2 containers,3030,1520,169,26,1,515,6550,225,43,128,178
Catering Citrus Asian Crunch Salad with Chicken - Serves 5,1 container,1510,760,84,13,0,260,3270,113,21,64,89
Catering French Baguette,1 Baguette,1060,35,3.5,1,0,0,2700,217,8,4,40
Catering Fuji Apple - Half,1/2 Salad,220,150,16,3.5,0,5,200,17,3,11,4
Catering Fuji Apple Salad - serves 10,2 Containers,2250,1510,168,36,2.5,70,2190,161,28,106,40
Catering Fuji Apple Salad - serves 5,1 Container,1130,760,84,18,1.5,35,1100,81,14,53,20
Catering Fuji Apple  - Whole,1 Salad,450,290,33,7,0,15,410,34,6,22,8
Catering Fuji Apple with Chicken Salad - serves 10,2 Containers,2800,1620,180,39,2.5,420,4410,176,28,108,138
Catering Fuji Apple with Chicken Salad - serves 5,1 Container,1400,810,90,19,1.5,210,2200,88,14,54,69
Catering Garlic Aioli for Breakfast Sandwiches,about 0.5 oz,110,110,12,2,0,10,65,0,0,0,0
Catering Greek Salad - serves 10,2 Containers,2250,1810,201,45,2,150,5910,77,28,29,42
Catering Greek Salad - serve 5,1 Container,1120,900,100,22,1,75,2960,38,14,15,21
Catering Green Goddess Cobb Salad with Chicken - serves 5,1 Container,1300,680,75,17,0.5,675,2660,69,20,33,94
Catering Green Goddess Cobb Salad with Chicken - serves 10,1 Container,2600,1350,150,34,1.5,1350,5320,138,39,67,188
Catering Pastry Ring,1 Pastry Ring,2550,1030,114,65,4,400,2020,346,9,171,41
Catering Seasonal Greens Salad - serves 10,2 Containers,1650,1360,151,21,1,0,1870,63,18,28,17
Catering Seasonal Greens Salad - serves 5,1 Container,820,680,76,11,0,0,930,31,9,14,9
Catering Seasonal Greens Salad with Chicken - serves 10,2 Containers,2200,1460,163,24,1,350,4080,77,18,30,115
Catering Seasonal Greens Salad with Chicken- serves 5,1 Container,1100,730,81,12,0,175,2040,39,9,15,57
Catering Strawberry Poppyseed Salad - serves 10,2 Containers,1240,530,59,6,1.5,0,840,177,44,125,25
Catering Strawberry Poppyseed Salad - serves 5,1 Container,620,270,30,3,1,0,420,89,22,63,12
Catering Strawberry Poppyseed with Chicken Salad - serves 10,2 Containers,1790,640,71,9,1.5,350,3060,192,44,128,122
Catering Strawberry Poppyseed with Chicken Salad - serves 5,1 Container,890,320,35,4.5,1,175,1530,96,22,64,61
Catering Summer Fruit Salad - Serves 10,2 containers,670,30,3.5,0,0,0,60,169,23,103,10
Catering Summer Fruit Salad - Serves 5,1 container,330,15,1.5,0,0,0,30,85,12,52,5
Catering Tomato Basil Cucumber Salad - Large Bowl,1 Large Bowl,760,420,47,7,0,0,4020,73,11,43,13
Catering Tomato Basil Cucumber Salad - Small Bowl,1 Small Bowl,380,210,23,3.5,0,0,2010,36,6,21,6
Catering Deli Turkey on Country Rustic Sourdough- Half,1/2 Sandwich,230,20,2,0,0,25,620,36,2,2,17
Catering Deli Turkey on Country Rustic Sourdough- Whole,1 Sandwich,460,40,4.5,1,0,45,1240,71,4,5,34
Cream of Chicken and Wild Rice - Group,1 Container,620,330,36,17,1.5,85,3240,62,13,9,23
Fuji Apple Cranberry Flavored Charged Lemonade - Serves 10 - Group,2 Containers,1830,20,2.5,0,0,0,75,449,1,417,3
Fuji Apple Cranberry Flavored Charged Lemonade - Serves 5 - Group,1 Container,920,10,1,0,0,0,35,224,0,208,1
Homestyle Chicken Noodle Soup - Group,1 container,230,15,2,0.5,0,55,3000,30,0,10,22
Signature Hot Chocolate - Group,1 Container,4300,1380,153,96,4.5,475,1830,692,33,420,64
Lobster Mac & Cheese - Group,1 Container,2390,1320,147,87,4,635,6520,159,1,22,104
Mac & Cheese - Group,1 Container,1840,1030,115,70,3,310,4590,134,0,21,66
Mango Yuzu Citrus Flavored Charged Lemonade - Serves 10 - Group,2 Containers,2220,25,3,0.5,0,0,70,544,2,518,3
Mango Yuzu Citrus Flavored Charged Lemonade - Serves 5 - Group,1 Container,1110,15,1.5,0,0,0,35,272,1,259,1
Mexican Style Street Corn Chowder - Group,1 container,750,390,44,21,1,100,3190,81,7,16,14
Passion Papaya Flavored Green Tea - Serves 10 - Group,2 Containers,880,0,0,0,0,0,135,220,0,219,0
Premium Orange Juice - Serves 10 - Group,2 Containers,1800,0,0,3,0,0,60,408,0,360,33
Premium Orange Juice - Serves 5 - Group,2 Containers,900,0,0,1.5,0,0,30,204,0,180,17
Seasonal Greens - Half,1/2 Salad,140,110,13,2,0,0,160,6,2,3,2
Seasonal Greens - Whole,1 Salad,290,230,25,3.5,0,0,320,13,4,6,4
Seasonal Greens with Chicken- Half,1/2 Salad,200,120,14,2,0,35,370,8,2,3,11
Seasonal Greens with Chicken - Whole,1 Salad,390,250,28,4,0,70,750,16,4,6,22
Sierra Turkey Sandwich on Asiago Cheese Focaccia - Half,1/2 Sandwich,400,150,17,4,0,40,890,43,2,2,20
Sierra Turkey Sandwich on Asiago Cheese Focaccia - Whole,1 Sandwich,800,300,33,8,0,80,1780,85,4,5,40
Steak & Arugula on Country Rustic Sourdough - Half,1/2 Sandwich,360,140,16,3.5,0,45,560,37,2,4,17
Steak & Arugula on Country Rustic Sourdough - Whole,1 Sandwich,710,280,31,7,0,85,1120,73,4,8,35
Strawberry Lemon Mint Flavored Charged Lemonade - Serves 10 - Group,2 Containers,1810,20,2.5,0,0,0,70,446,1,416,3
Strawberry Lemon Mint Flavored Charged Lemonade - Serves 5 - Group,1 Container,910,10,1,0,0,0,35,223,0,208,1
Sweet Tea - Serves 10 - Group,2 Containers,680,1,0,0,0,0,75,163,0,161,14
Thai Chicken Soup - Group,1 Container,540,290,32,26,0,50,2530,37,8,11,25
Tropical Hibiscus Tea - Serves 10 - Group,2 Containers,0,0,0,0,0,0,0,0,0,0,0
Ten Vegetable Soup - Group,1 Container,220,40,4.5,1,0,0,2550,36,9,13,11
Vegetarian Creamy Tomato Soup - Group,1 Container,850,450,50,27,1.5,135,2660,86,3,39,14
